Country,State,District,Block,Year,Month,Village Name,"Number Of Households Issue Job Card Schedule Castes (Scs) (UOM:Number), Scaling Factor:1","Number Of Households Issue Job Card Schedule Tribes (Sts) (UOM:Number), Scaling Factor:1","Number Of Households Issue Job Card Others (UOM:Number), Scaling Factor:1","Total Number Of Households Issue Job Card (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Schedule Castes (Scs) (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Schedule Tribes (Sts) (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Others (UOM:Number), Scaling Factor:1","Total Number Of Household Provided Employment (UOM:Number), Scaling Factor:1","Number Of Employment Provided To Woman (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Scheduled Caste (Scs) (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Scheduled Tribe (Sts) (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Others (UOM:Number), Scaling Factor:1","Total Number Of Person Days Generated (UOM:Number), Scaling Factor:1","Number Of Person Days Generated For Woman (UOM:Number), Scaling Factor:1","Families Completed 100days Scheduled Caste (Scs) (UOM:Number), Scaling Factor:1","Families Completed 100days Scheduled Tribe (Sts) (UOM:Number), Scaling Factor:1","Families Completed 100days Others (UOM:Number), Scaling Factor:1","Total Families Completed 100 Days (UOM:Number), Scaling Factor:1"
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",galmakpa,0,40,0,40,0,40,0,40,5,0,2050,0,2050,257,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",bamil bapupara,0,51,0,51,0,51,0,51,52,0,3783,0,3783,1883,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",baringgre wadro,0,53,1,54,0,49,1,50,42,0,3663,75,3738,1440,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",bekgitokgittim,0,55,1,56,0,55,1,56,12,0,4125,75,4200,900,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",bolkret,0,95,1,96,0,95,1,96,90,0,7125,75,7200,3087,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",bolsal ading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",bolsalgittim,0,45,0,45,0,45,0,45,10,0,3300,0,3300,734,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",chambildam,0,56,0,56,0,56,0,56,55,0,4165,0,4165,1983,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",cheran alda,0,73,0,73,0,73,0,73,73,0,5336,0,5336,2600,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",cheran chikal,0,101,1,102,0,101,1,102,103,0,7523,75,7598,3287,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",dimbil bonegre,0,107,0,107,0,101,0,101,5,0,2950,0,2950,146,0,0,0,0
